线路号: 102
车辆编号	驾驶员编号
25338	9001024.0
25204	9001033.0
28682	9018167.0
25119	9004219.0
28671	9000861.0
25141	9001027.0
25195	9011233.0
25120	9000975.0
25203	9001032.0
25344	9001165.0
25125	9001030.0
28683	9000992.0
25200	9011124.0
28677	9017317.0
950120	9011056.0
25124	9000912.0
25341	9000875.0
28674	9017754.0
25200	9000906.0
950120	9001012.0
25141	9017718.0
28682	9017965.0
25140	9017967.0
25124	9017753.0
25344	9011061.0
25119	9011123.0
25125	9001020.0
25195	9000981.0
28671	9017778.0
25120	9001017.0
25340	9000919.0
25343	9017716.0
28677	9011230.0
25203	9017448.0
25199	9001023.0
25201	9000976.0
