线路号: 109
车辆编号	驾驶员编号
28645	9011218.0
28649	9018180.0
28666	9011139.0
28653	9002666.0
27787	9002628.0
27818	9016978.0
27817	9002547.0
28665	9000818.0
27820	9002602.0
27826	9014082.0
28660	9002545.0
28647	9002658.0
25308	9002549.0
19523	9002558.0
27825	9016524.0
27824	90808223.0
27785	9002424.0
25112	9002455.0
27821	9002672.0
27786	9002668.0
28658	9002463.0
28651	9002567.0
28643	9002649.0
25308	9002487.0
25321	9011104.0
27817	9018082.0
27787	9002597.0
28666	9002617.0
25321	9002469.0
27786	9002403.0
25112	9002589.0
25111	9002465.0
28665	9011214.0
28649	9002565.0
27818	9002559.0
27818	9011218.0
27824	9011215.0
28653	9002660.0
28648	9002460.0
25113	9002388.0
28647	9018081.0
27816	9002561.0
28646	9002568.0
27823	9016975.0
27827	9002598.0
28663	9018078.0
28663	9002555.0
27820	9002461.0
25251	9002669.0
25255	9016477.0
